Filename:	D:\TGAdata\„∆√ŒœÈ\Ã∆–°º™\15%5mm.t6d

Temperature (°„C)	Weight % (%)
287.65	99.129
287.97	99.121
288.30	99.117
288.62	99.117
288.95	99.105
289.27	99.097
289.59	99.085
289.91	99.082
290.23	99.078
290.55	99.070
290.88	99.070
291.19	99.062
291.52	99.058
291.84	99.054
292.16	99.046
292.49	99.046
292.81	99.046
293.13	99.046
293.46	99.038
293.79	99.019
294.11	99.019
294.44	99.015
294.76	99.011
295.08	98.999
295.41	98.995
295.74	98.979
296.06	98.964
296.38	98.952
296.70	98.948
297.03	98.940
297.35	98.928
297.68	98.920
298.00	98.920
298.33	98.913
298.65	98.905
298.98	98.901
299.31	98.889
299.63	98.881
299.96	98.873
300.29	98.858
300.62	98.842
300.95	98.826
301.29	98.814
301.62	98.807
301.95	98.803
302.28	98.795
302.61	98.779
302.94	98.771
303.27	98.771
303.61	98.759
303.94	98.748
304.28	98.740
304.61	98.724
304.95	98.716
305.28	98.704
305.62	98.689
305.96	98.685
306.29	98.661
306.63	98.653
306.96	98.649
307.30	98.642
307.63	98.634
307.97	98.622
308.30	98.614
308.63	98.610
308.96	98.602
309.29	98.586
309.63	98.575
309.96	98.563
310.30	98.547
310.63	98.528
310.97	98.520
311.31	98.504
311.64	98.485
311.98	98.469
312.32	98.453
312.66	98.437
312.99	98.429
313.33	98.422
313.67	98.406
314.01	98.386
314.34	98.359
314.68	98.335
315.02	98.316
315.36	98.308
315.69	98.288
316.03	98.276
316.36	98.257
316.69	98.241
317.03	98.221
317.36	98.205
317.70	98.194
318.03	98.178
318.37	98.151
318.70	98.135
319.04	98.115
319.38	98.103
319.71	98.072
320.05	98.052
320.38	98.037
320.71	98.009
321.05	97.978
321.38	97.958
321.72	97.942
322.05	97.927
322.38	97.911
322.71	97.891
323.04	97.868
323.38	97.836
323.71	97.809
324.05	97.777
324.38	97.746
324.72	97.726
325.05	97.695
325.39	97.671
325.72	97.648
326.06	97.636
326.39	97.613
326.72	97.581
327.06	97.546
327.39	97.526
327.72	97.498
328.06	97.475
328.39	97.447
328.73	97.412
329.06	97.377
