Filename:	D:\TGAdata\ãÆÃÎÏé\ÌÆÐ¡¼ª\´¿PP.t6d

Temperature (¡ãC)	Weight % (%)
235.71	99.883
236.04	99.875
236.37	99.875
236.70	99.875
237.04	99.871
237.37	99.867
237.71	99.871
238.04	99.871
238.37	99.863
238.70	99.859
239.03	99.851
239.37	99.847
239.70	99.843
240.03	99.847
240.37	99.839
240.70	99.843
241.03	99.843
241.36	99.847
241.69	99.851
242.02	99.847
242.35	99.847
242.68	99.851
243.01	99.851
243.34	99.855
243.67	99.843
244.01	99.843
244.34	99.847
244.67	99.843
245.00	99.847
245.33	99.847
245.67	99.843
246.00	99.843
246.34	99.847
246.67	99.843
247.00	99.847
247.34	99.847
247.67	99.843
248.01	99.839
248.35	99.835
248.68	99.831
249.01	99.826
249.35	99.831
249.68	99.835
250.01	99.822
250.34	99.826
250.68	99.826
251.01	99.826
251.35	99.822
251.68	99.831
252.01	99.831
252.34	99.839
252.67	99.835
253.00	99.822
253.33	99.818
253.66	99.810
253.99	99.802
254.32	99.798
254.66	99.806
255.00	99.798
255.33	99.802
255.67	99.798
256.01	99.790
256.35	99.786
256.68	99.786
257.02	99.790
257.35	99.790
257.68	99.794
258.00	99.798
258.33	99.802
258.66	99.794
258.99	99.794
259.31	99.786
259.64	99.778
259.96	99.766
260.29	99.766
260.62	99.758
260.95	99.758
261.27	99.762
261.60	99.762
261.92	99.758
262.24	99.758
262.57	99.766
262.90	99.762
263.23	99.770
263.56	99.774
263.88	99.770
264.21	99.770
264.53	99.766
264.86	99.766
265.18	99.762
265.51	99.754
265.83	99.754
266.15	99.758
266.48	99.758
266.80	99.758
267.13	99.762
267.45	99.766
267.78	99.762
268.10	99.754
268.43	99.758
268.75	99.758
269.08	99.762
269.41	99.766
269.74	99.766
270.07	99.766
270.41	99.758
270.74	99.758
271.07	99.754
271.39	99.749
271.71	99.741
272.03	99.741
272.36	99.745
272.68	99.733
273.01	99.733
273.33	99.725
273.65	99.717
273.97	99.713
274.29	99.709
274.61	99.697
274.93	99.693
275.25	99.701
275.57	99.701
275.90	99.709
276.23	99.721
276.55	99.725
276.88	99.721
277.21	99.717
277.53	99.713
277.86	99.713
278.18	99.709
278.50	99.717
278.82	99.713
279.14	99.713
279.46	99.705
279.78	99.697
280.11	99.693
280.43	99.697
280.75	99.701
281.07	99.709
281.40	99.709
281.72	99.705
282.05	99.701
282.37	99.697
282.69	99.693
283.02	99.689
283.34	99.680
283.66	99.676
283.98	99.668
284.30	99.664
284.62	99.664
284.94	99.664
285.26	99.676
285.58	99.680
285.90	99.680
286.23	99.684
286.55	99.673
286.88	99.676
287.20	99.680
287.53	99.680
287.86	99.680
288.18	99.676
288.51	99.680
288.83	99.676
289.14	99.680
289.47	99.673
289.79	99.676
290.11	99.680
290.43	99.676
290.76	99.676
291.08	99.673
291.41	99.673
291.73	99.664
292.06	99.668
292.38	99.664
292.70	99.652
293.03	99.656
293.35	99.660
293.67	99.664
294.00	99.668
294.32	99.664
294.65	99.656
294.97	99.664
295.30	99.668
295.62	99.668
295.94	99.668
296.27	99.668
296.59	99.660
296.91	99.656
297.23	99.656
297.56	99.652
297.88	99.648
298.21	99.648
298.53	99.636
298.85	99.636
299.17	99.640
299.50	99.644
299.82	99.648
300.15	99.648
300.48	99.640
300.81	99.636
301.14	99.632
301.47	99.628
301.80	99.644
302.13	99.648
302.46	99.648
302.79	99.640
303.12	99.636
303.45	99.628
303.79	99.636
304.13	99.640
304.46	99.632
304.79	99.616
305.13	99.603
305.46	99.612
305.79	99.612
306.13	99.612
306.46	99.603
306.80	99.603
307.13	99.599
307.47	99.591
307.80	99.583
308.14	99.575
308.48	99.571
308.81	99.575
309.15	99.579
309.49	99.587
309.83	99.587
310.17	99.579
310.51	99.575
310.85	99.571
311.18	99.567
311.51	99.567
311.85	99.563
312.19	99.555
312.52	99.559
312.86	99.551
313.20	99.547
313.54	99.535
313.88	99.531
314.22	99.518
314.55	99.518
314.89	99.518
315.23	99.502
315.56	99.494
315.90	99.498
316.24	99.498
316.57	99.502
316.91	99.494
317.25	99.486
317.58	99.490
317.92	99.482
318.25	99.478
318.59	99.470
318.92	99.461
319.26	99.441
319.59	99.425
