Filename:	D:\TGAdata\„∆√ŒœÈ\20150506\10.pdid

Temperature (°„C)	Heat Flow Endo Up (mW)
24.44	3.6961
24.46	3.6967
24.48	3.6974
24.49	3.6979
24.50	3.6984
24.52	3.6989
24.54	3.6992
24.56	3.6997
24.57	3.7002
24.59	3.7005
24.61	3.7011
24.62	3.7015
24.64	3.7019
24.66	3.7022
24.67	3.7026
24.69	3.7030
24.70	3.7033
24.72	3.7037
24.74	3.7042
24.75	3.7048
24.77	3.7054
24.79	3.7059
24.80	3.7064
24.82	3.7071
24.84	3.7075
24.86	3.7081
24.88	3.7086
24.89	3.7091
24.90	3.7097
24.92	3.7102
24.93	3.7106
24.95	3.7111
24.97	3.7117
24.99	3.7121
25.00	3.7126
25.02	3.7130
25.03	3.7135
25.05	3.7139
25.07	3.7142
25.08	3.7146
25.10	3.7150
25.12	3.7156
25.14	3.7164
25.15	3.7170
25.17	3.7176
25.19	3.7181
25.20	3.7188
25.22	3.7194
25.23	3.7200
25.25	3.7203
25.27	3.7208
25.28	3.7211
25.30	3.7215
25.32	3.7220
25.33	3.7222
25.35	3.7226
25.36	3.7231
25.38	3.7237
25.40	3.7241
25.42	3.7245
25.43	3.7248
25.45	3.7251
25.47	3.7256
25.48	3.7260
25.50	3.7265
25.52	3.7272
25.53	3.7280
25.55	3.7284
25.56	3.7289
25.58	3.7294
25.59	3.7300
25.61	3.7306
25.63	3.7310
25.65	3.7315
25.66	3.7321
25.68	3.7325
25.70	3.7329
25.72	3.7334
25.73	3.7339
25.75	3.7341
25.76	3.7345
25.78	3.7351
25.79	3.7352
25.81	3.7355
25.83	3.7358
25.84	3.7361
25.87	3.7369
25.88	3.7378
25.90	3.7384
25.92	3.7390
25.93	3.7397
25.95	3.7403
25.96	3.7410
25.98	3.7413
25.99	3.7417
26.01	3.7420
26.03	3.7424
26.05	3.7430
26.06	3.7434
26.08	3.7437
26.09	3.7440
26.11	3.7445
26.13	3.7449
26.15	3.7452
26.16	3.7456
26.18	3.7460
26.19	3.7468
26.21	3.7472
26.23	3.7477
26.24	3.7484
26.25	3.7489
26.28	3.7496
26.30	3.7502
26.31	3.7507
26.32	3.7512
26.34	3.7517
26.36	3.7523
26.38	3.7527
26.39	3.7534
26.40	3.7538
26.43	3.7544
26.44	3.7549
26.45	3.7555
26.47	3.7559
26.49	3.7562
26.51	3.7566
26.53	3.7571
26.54	3.7574
26.56	3.7581
26.57	3.7587
26.59	3.7593
26.60	3.7600
26.63	3.7606
26.64	3.7612
26.66	3.7618
26.68	3.7623
26.69	3.7627
26.70	3.7631
26.72	3.7638
26.74	3.7642
26.75	3.7648
26.77	3.7652
26.79	3.7656
26.80	3.7661
26.82	3.7665
26.84	3.7671
26.85	3.7675
26.87	3.7680
26.89	3.7685
26.91	3.7691
26.93	3.7697
26.94	3.7703
26.96	3.7710
26.98	3.7716
26.99	3.7722
27.00	3.7728
27.02	3.7732
27.04	3.7738
27.05	3.7743
27.07	3.7748
27.09	3.7753
27.10	3.7757
27.12	3.7760
27.14	3.7765
27.15	3.7769
27.17	3.7773
27.18	3.7777
27.20	3.7781
27.22	3.7785
27.23	3.7791
27.25	3.7797
27.27	3.7803
27.29	3.7810
27.30	3.7816
27.32	3.7822
27.33	3.7827
27.35	3.7831
27.37	3.7835
27.39	3.7839
27.40	3.7843
27.42	3.7846
27.44	3.7851
27.45	3.7854
27.47	3.7857
27.48	3.7860
27.50	3.7862
27.52	3.7864
27.53	3.7867
27.55	3.7872
27.57	3.7875
27.58	3.7879
27.60	3.7881
27.62	3.7884
27.63	3.7890
27.65	3.7896
27.67	3.7902
27.68	3.7910
27.70	3.7916
27.72	3.7920
27.74	3.7925
27.75	3.7931
27.76	3.7935
27.78	3.7938
27.80	3.7942
27.82	3.7945
27.83	3.7950
27.85	3.7954
27.87	3.7958
27.88	3.7962
27.90	3.7967
27.92	3.7970
27.93	3.7976
27.95	3.7980
27.97	3.7984
27.98	3.7990
28.00	3.7996
28.02	3.8002
28.03	3.8008
28.05	3.8017
28.06	3.8021
28.08	3.8028
28.10	3.8032
28.12	3.8039
28.13	3.8042
28.15	3.8046
28.17	3.8049
28.18	3.8054
28.20	3.8059
28.22	3.8064
28.23	3.8069
28.25	3.8071
28.26	3.8077
28.28	3.8082
28.30	3.8084
28.32	3.8090
28.33	3.8094
28.34	3.8101
28.36	3.8107
28.38	3.8113
28.40	3.8120
28.42	3.8129
28.43	3.8136
28.45	3.8144
28.46	3.8149
28.48	3.8153
28.50	3.8159
28.51	3.8162
28.53	3.8169
28.55	3.8172
28.56	3.8178
28.58	3.8182
28.59	3.8187
28.61	3.8191
28.63	3.8194
28.65	3.8199
28.66	3.8203
28.68	3.8208
28.70	3.8214
28.72	3.8221
28.73	3.8228
28.75	3.8237
28.77	3.8244
28.78	3.8251
28.79	3.8256
28.81	3.8264
28.83	3.8268
28.85	3.8273
28.86	3.8276
28.88	3.8282
28.90	3.8286
28.91	3.8292
28.93	3.8296
28.95	3.8301
28.96	3.8305
28.98	3.8309
29.00	3.8314
29.01	3.8318
29.03	3.8323
29.05	3.8326
29.07	3.8332
29.08	3.8343
29.09	3.8348
29.11	3.8357
29.13	3.8363
29.15	3.8365
29.16	3.8374
29.18	3.8380
29.19	3.8388
29.21	3.8391
29.23	3.8396
29.25	3.8399
29.26	3.8403
29.28	3.8406
29.30	3.8410
29.31	3.8412
29.32	3.8417
29.34	3.8419
29.36	3.8426
29.38	3.8428
29.39	3.8430
29.41	3.8436
29.43	3.8442
29.44	3.8449
29.46	3.8457
29.48	3.8465
29.50	3.8471
29.51	3.8476
29.53	3.8481
29.54	3.8487
29.56	3.8492
29.57	3.8498
29.59	3.8502
29.61	3.8509
29.63	3.8512
29.64	3.8515
29.66	3.8520
29.68	3.8526
29.69	3.8530
29.70	3.8532
29.73	3.8538
29.74	3.8540
29.75	3.8545
29.78	3.8549
29.79	3.8555
29.81	3.8561
29.82	3.8567
29.84	3.8574
29.85	3.8579
29.88	3.8586
29.89	3.8590
29.90	3.8595
29.92	3.8603
29.94	3.8605
29.96	3.8610
29.98	3.8617
29.99	3.8620
30.01	3.8621
30.03	3.8626
30.04	3.8629
30.05	3.8632
30.07	3.8637
30.09	3.8640
30.10	3.8647
30.13	3.8652
30.14	3.8658
30.16	3.8664
30.17	3.8670
30.19	3.8678
30.20	3.8686
30.22	3.8690
30.24	3.8697
30.25	3.8704
30.28	3.8705
30.29	3.8710
30.30	3.8713
30.32	3.8717
30.34	3.8719
30.35	3.8723
30.37	3.8727
30.39	3.8732
30.40	3.8736
30.42	3.8741
30.44	3.8745
30.45	3.8751
30.47	3.8756
30.49	3.8762
30.50	3.8768
30.52	3.8774
30.53	3.8779
30.55	3.8787
30.57	3.8793
30.59	3.8796
30.60	3.8801
30.62	3.8807
30.64	3.8811
30.65	3.8814
30.67	3.8818
30.69	3.8821
30.70	3.8825
30.72	3.8829
30.73	3.8832
30.75	3.8836
30.77	3.8840
30.79	3.8843
30.80	3.8846
30.81	3.8852
30.84	3.8857
30.86	3.8866
30.87	3.8874
30.89	3.8879
30.90	3.8884
30.92	3.8890
30.94	3.8896
30.95	3.8901
30.97	3.8904
30.99	3.8908
31.00	3.8912
31.02	3.8916
31.03	3.8922
31.05	3.8926
31.07	3.8928
31.08	3.8932
31.10	3.8938
31.12	3.8942
31.13	3.8947
31.15	3.8953
31.17	3.8957
31.18	3.8961
31.20	3.8965
31.21	3.8971
31.23	3.8978
31.25	3.8988
31.26	3.8993
31.28	3.8998
31.30	3.9003
31.31	3.9008
31.33	3.9012
31.35	3.9018
31.36	3.9024
31.38	3.9029
31.40	3.9033
31.42	3.9037
31.43	3.9040
31.45	3.9043
31.46	3.9046
31.48	3.9050
31.50	3.9055
31.51	3.9058
31.53	3.9063
31.55	3.9067
31.56	3.9073
31.57	3.9080
31.60	3.9087
31.61	3.9094
31.63	3.9100
31.65	3.9106
31.66	3.9112
31.68	3.9118
31.70	3.9123
31.72	3.9129
31.73	3.9133
31.75	3.9140
31.77	3.9145
31.78	3.9151
31.80	3.9154
31.82	3.9158
31.82	3.9162
31.85	3.9167
31.86	3.9171
31.88	3.9177
31.90	3.9181
31.91	3.9190
31.93	3.9197
31.94	3.9203
31.96	3.9207
31.98	3.9211
31.99	3.9217
32.01	3.9225
32.03	3.9232
32.05	3.9238
32.06	3.9245
32.08	3.9249
32.09	3.9254
32.11	3.9259
32.13	3.9263
32.15	3.9269
32.16	3.9274
32.17	3.9277
32.20	3.9279
32.21	3.9285
32.23	3.9288
32.24	3.9293
32.26	3.9301
32.27	3.9306
32.29	3.9314
32.31	3.9319
32.33	3.9325
32.34	3.9330
32.36	3.9336
32.38	3.9342
32.39	3.9347
32.41	3.9353
32.43	3.9358
32.44	3.9364
32.45	3.9368
32.47	3.9372
32.49	3.9375
32.51	3.9379
32.52	3.9381
32.54	3.9387
32.56	3.9392
32.58	3.9396
32.59	3.9400
