Filename:	D:\TGAdata\„∆√ŒœÈ\20150506\10%5mm.pdid

Temperature (°„C)	Heat Flow Endo Up (mW)
24.30	3.3472
24.31	3.3474
24.33	3.3478
24.35	3.3483
24.37	3.3486
24.38	3.3490
24.40	3.3495
24.41	3.3500
24.43	3.3506
24.45	3.3510
24.47	3.3516
24.48	3.3521
24.50	3.3526
24.51	3.3533
24.53	3.3538
24.55	3.3541
24.57	3.3547
24.58	3.3549
24.60	3.3553
24.61	3.3559
24.63	3.3561
24.65	3.3566
24.66	3.3570
24.68	3.3572
24.69	3.3575
24.71	3.3579
24.73	3.3582
24.75	3.3586
24.76	3.3591
24.78	3.3596
24.79	3.3602
24.81	3.3609
24.83	3.3613
24.84	3.3617
24.87	3.3624
24.88	3.3628
24.90	3.3630
24.91	3.3636
24.93	3.3640
24.94	3.3644
24.96	3.3649
24.98	3.3651
25.00	3.3657
25.01	3.3661
25.03	3.3663
25.04	3.3666
25.06	3.3670
25.07	3.3673
25.09	3.3676
25.11	3.3681
25.13	3.3686
25.14	3.3692
25.15	3.3697
25.18	3.3703
25.19	3.3707
25.21	3.3714
25.23	3.3719
25.24	3.3722
25.26	3.3728
25.28	3.3731
25.30	3.3735
25.31	3.3740
25.33	3.3744
25.34	3.3746
25.36	3.3752
25.38	3.3756
25.40	3.3762
25.41	3.3764
25.43	3.3767
25.45	3.3772
25.47	3.3775
25.48	3.3779
25.49	3.3785
25.51	3.3792
25.52	3.3797
25.54	3.3805
25.56	3.3810
25.58	3.3814
25.59	3.3821
25.61	3.3824
25.62	3.3827
25.64	3.3831
25.67	3.3833
25.68	3.3839
25.69	3.3843
25.71	3.3847
25.73	3.3850
25.75	3.3853
25.76	3.3857
25.78	3.3858
25.79	3.3862
25.81	3.3866
25.82	3.3870
25.84	3.3875
25.85	3.3882
25.88	3.3887
25.89	3.3893
25.91	3.3900
25.93	3.3906
25.94	3.3911
25.96	3.3914
25.98	3.3917
25.99	3.3921
26.01	3.3925
26.03	3.3927
26.04	3.3932
26.06	3.3935
26.08	3.3940
26.09	3.3943
26.10	3.3946
26.12	3.3951
26.14	3.3954
26.16	3.3957
26.17	3.3961
26.19	3.3964
26.21	3.3972
26.22	3.3977
26.24	3.3983
26.25	3.3989
26.28	3.3994
26.29	3.3998
26.31	3.4003
26.32	3.4007
26.34	3.4013
26.36	3.4016
26.37	3.4021
26.39	3.4025
26.41	3.4029
26.43	3.4031
26.44	3.4035
26.45	3.4041
26.47	3.4045
26.49	3.4051
26.50	3.4055
26.52	3.4060
26.54	3.4064
26.56	3.4069
26.57	3.4076
26.59	3.4082
26.61	3.4088
26.63	3.4094
26.63	3.4097
26.65	3.4103
26.68	3.4106
26.69	3.4112
26.70	3.4118
26.72	3.4124
26.74	3.4129
26.75	3.4131
26.78	3.4134
26.79	3.4138
26.80	3.4142
26.82	3.4144
26.84	3.4149
26.85	3.4154
26.88	3.4156
26.89	3.4161
26.91	3.4163
26.93	3.4168
26.94	3.4178
26.96	3.4188
26.98	3.4198
26.99	3.4205
27.00	3.4211
27.02	3.4215
27.04	3.4220
27.05	3.4223
27.07	3.4225
27.09	3.4226
27.10	3.4227
27.12	3.4230
27.13	3.4231
27.15	3.4234
27.17	3.4236
27.19	3.4238
27.21	3.4242
27.22	3.4245
27.24	3.4248
27.25	3.4252
27.27	3.4256
27.29	3.4259
27.30	3.4264
27.32	3.4268
27.34	3.4273
27.36	3.4277
27.38	3.4283
27.39	3.4287
27.41	3.4290
27.42	3.4292
27.44	3.4295
27.45	3.4297
27.47	3.4298
27.48	3.4302
27.50	3.4303
27.52	3.4306
27.54	3.4309
27.55	3.4312
27.57	3.4313
27.59	3.4317
27.61	3.4320
27.62	3.4321
27.64	3.4325
27.65	3.4328
27.67	3.4333
27.69	3.4336
27.71	3.4341
27.72	3.4344
27.74	3.4350
27.76	3.4354
27.78	3.4359
27.79	3.4362
27.80	3.4366
27.82	3.4369
27.83	3.4372
27.85	3.4374
27.88	3.4376
27.89	3.4381
27.90	3.4384
27.93	3.4388
27.94	3.4391
27.95	3.4391
27.97	3.4396
27.99	3.4399
28.01	3.4404
28.03	3.4412
28.04	3.4421
28.06	3.4427
28.07	3.4435
28.09	3.4439
28.10	3.4445
28.12	3.4451
28.14	3.4457
28.15	3.4462
28.17	3.4466
28.19	3.4473
28.20	3.4475
28.22	3.4479
28.24	3.4484
28.25	3.4488
28.27	3.4492
28.29	3.4497
28.30	3.4502
28.32	3.4507
28.33	3.4513
28.35	3.4518
28.37	3.4526
28.39	3.4534
28.40	3.4539
28.42	3.4544
28.44	3.4549
28.45	3.4555
28.47	3.4561
28.49	3.4569
28.50	3.4573
28.52	3.4578
28.54	3.4583
28.56	3.4588
28.57	3.4593
28.59	3.4598
28.61	3.4603
28.63	3.4605
28.64	3.4610
28.65	3.4614
28.67	3.4618
28.69	3.4621
28.70	3.4626
28.72	3.4629
28.74	3.4637
