Filename:	D:\TGAdata\„∆√ŒœÈ\20150506\20%5mm.pdid

Temperature (°„C)	Heat Flow Endo Up (mW)
19.69	3.2902
19.71	3.2908
19.72	3.2913
19.74	3.2917
19.75	3.2921
19.77	3.2926
19.79	3.2929
19.81	3.2932
19.82	3.2936
19.84	3.2942
19.86	3.2945
19.88	3.2949
19.89	3.2954
19.90	3.2958
19.92	3.2960
19.95	3.2963
19.96	3.2966
19.98	3.2971
19.99	3.2974
20.01	3.2980
20.02	3.2987
20.04	3.2993
20.06	3.2999
20.07	3.3002
20.09	3.3007
20.11	3.3011
20.13	3.3015
20.15	3.3017
20.16	3.3023
20.17	3.3025
20.19	3.3031
20.20	3.3032
20.22	3.3038
20.24	3.3041
20.26	3.3044
20.28	3.3046
20.29	3.3050
20.30	3.3052
20.32	3.3055
20.34	3.3061
20.36	3.3066
20.37	3.3071
20.39	3.3077
20.40	3.3083
20.42	3.3088
20.44	3.3095
20.46	3.3101
20.47	3.3106
20.49	3.3111
20.51	3.3116
20.53	3.3119
20.54	3.3122
20.56	3.3124
20.57	3.3127
20.59	3.3130
20.61	3.3134
20.63	3.3136
20.64	3.3140
20.66	3.3144
20.68	3.3147
20.69	3.3151
20.71	3.3155
20.72	3.3161
20.74	3.3165
20.75	3.3169
20.77	3.3174
20.79	3.3180
20.81	3.3183
20.82	3.3189
20.84	3.3196
20.85	3.3198
20.88	3.3202
20.89	3.3208
20.90	3.3212
20.92	3.3216
20.94	3.3220
20.96	3.3223
20.98	3.3226
20.99	3.3230
21.00	3.3233
21.02	3.3237
21.04	3.3243
21.05	3.3245
21.07	3.3249
21.09	3.3253
21.11	3.3259
21.12	3.3266
21.14	3.3271
21.15	3.3275
21.17	3.3281
21.19	3.3285
21.20	3.3290
21.23	3.3295
21.24	3.3300
21.25	3.3303
21.27	3.3306
21.29	3.3310
21.30	3.3314
21.32	3.3317
21.33	3.3321
21.35	3.3326
21.37	3.3329
21.39	3.3333
21.40	3.3335
21.42	3.3339
21.44	3.3343
21.45	3.3346
21.47	3.3350
21.49	3.3357
21.50	3.3363
21.52	3.3369
21.54	3.3373
21.55	3.3377
21.57	3.3383
21.58	3.3388
21.60	3.3390
21.62	3.3395
21.63	3.3400
21.65	3.3404
21.67	3.3407
21.68	3.3411
21.70	3.3413
21.72	3.3417
21.74	3.3422
21.75	3.3424
21.77	3.3429
21.78	3.3432
21.80	3.3436
21.82	3.3443
21.83	3.3450
21.85	3.3454
21.87	3.3461
21.89	3.3468
21.91	3.3472
21.92	3.3476
21.93	3.3482
21.95	3.3486
21.97	3.3490
21.99	3.3497
22.00	3.3501
22.02	3.3505
22.04	3.3511
22.05	3.3513
22.07	3.3518
22.08	3.3521
22.10	3.3525
22.12	3.3527
22.14	3.3533
22.15	3.3535
22.17	3.3542
22.19	3.3550
22.20	3.3555
22.22	3.3562
22.24	3.3569
22.25	3.3572
22.27	3.3576
22.28	3.3581
22.30	3.3585
22.32	3.3590
22.33	3.3596
22.35	3.3601
22.37	3.3606
22.38	3.3612
22.40	3.3615
22.41	3.3617
22.43	3.3621
22.45	3.3623
22.47	3.3625
22.49	3.3632
22.50	3.3635
22.52	3.3638
22.53	3.3641
22.55	3.3647
22.57	3.3656
22.58	3.3659
22.60	3.3663
22.62	3.3669
22.63	3.3671
22.65	3.3676
22.67	3.3683
22.68	3.3685
22.70	3.3688
22.71	3.3692
22.73	3.3694
22.75	3.3697
22.77	3.3700
22.78	3.3702
22.80	3.3704
22.82	3.3707
22.84	3.3712
22.85	3.3716
22.87	3.3719
22.88	3.3723
22.90	3.3728
22.91	3.3734
22.93	3.3737
22.95	3.3745
22.97	3.3751
22.98	3.3755
23.00	3.3762
23.02	3.3766
23.03	3.3769
23.05	3.3774
23.06	3.3778
23.08	3.3782
23.09	3.3785
23.11	3.3788
23.13	3.3790
23.15	3.3794
23.16	3.3797
23.18	3.3801
23.20	3.3804
23.21	3.3807
23.23	3.3811
23.25	3.3815
23.27	3.3818
23.28	3.3824
23.30	3.3830
23.32	3.3835
23.33	3.3843
23.34	3.3849
23.37	3.3854
23.38	3.3859
23.40	3.3864
23.41	3.3867
23.43	3.3874
23.45	3.3879
23.46	3.3881
