Filename:	D:\TGAdata\„∆√ŒœÈ\20150506\chunPP.pdid

Temperature (°„C)	Heat Flow Endo Up (mW)
18.27	3.4067
18.29	3.4071
18.30	3.4075
18.32	3.4079
18.33	3.4080
18.34	3.4082
18.37	3.4085
18.38	3.4088
18.40	3.4090
18.42	3.4093
18.43	3.4096
18.45	3.4100
18.47	3.4104
18.49	3.4108
18.51	3.4115
18.52	3.4120
18.53	3.4127
18.55	3.4131
18.57	3.4138
18.59	3.4141
18.60	3.4145
18.62	3.4150
18.63	3.4154
18.65	3.4157
18.66	3.4159
18.68	3.4161
18.70	3.4164
18.72	3.4166
18.74	3.4170
18.75	3.4172
18.77	3.4173
18.78	3.4174
18.80	3.4178
18.81	3.4181
18.83	3.4184
18.85	3.4189
18.87	3.4194
18.88	3.4200
18.90	3.4204
18.92	3.4208
18.94	3.4212
18.95	3.4215
18.97	3.4218
18.99	3.4221
19.00	3.4224
19.02	3.4228
19.03	3.4231
19.05	3.4234
19.07	3.4236
19.08	3.4239
19.10	3.4243
19.12	3.4248
19.13	3.4250
19.14	3.4255
19.16	3.4259
19.18	3.4264
19.20	3.4268
19.22	3.4272
19.24	3.4278
19.25	3.4285
19.26	3.4289
19.28	3.4294
19.30	3.4301
19.32	3.4305
19.33	3.4310
19.35	3.4315
19.37	3.4320
19.39	3.4323
19.40	3.4327
19.42	3.4332
19.43	3.4335
19.45	3.4337
19.47	3.4340
19.48	3.4344
19.50	3.4349
19.52	3.4352
19.53	3.4356
19.55	3.4358
19.57	3.4361
19.58	3.4366
19.60	3.4372
19.62	3.4377
19.63	3.4382
19.65	3.4387
19.67	3.4393
19.68	3.4399
19.70	3.4401
19.72	3.4405
19.74	3.4408
19.75	3.4413
19.76	3.4417
19.78	3.4420
19.80	3.4424
19.81	3.4428
19.83	3.4430
19.85	3.4433
19.87	3.4437
19.88	3.4440
19.90	3.4443
19.91	3.4446
19.93	3.4448
19.95	3.4454
19.97	3.4460
19.98	3.4467
20.00	3.4472
20.02	3.4476
20.03	3.4481
20.05	3.4487
20.07	3.4491
20.08	3.4495
20.09	3.4500
20.11	3.4505
20.13	3.4509
20.15	3.4514
20.16	3.4518
20.18	3.4521
20.20	3.4523
20.21	3.4526
20.23	3.4528
20.25	3.4528
20.26	3.4534
20.28	3.4537
20.30	3.4540
20.32	3.4546
20.33	3.4552
20.34	3.4557
20.36	3.4562
20.38	3.4564
20.40	3.4567
20.41	3.4571
20.43	3.4573
20.45	3.4575
20.46	3.4578
20.48	3.4580
20.50	3.4584
20.51	3.4588
20.53	3.4590
20.55	3.4592
20.56	3.4596
20.58	3.4598
20.59	3.4600
20.61	3.4602
20.63	3.4605
20.65	3.4608
20.67	3.4613
20.68	3.4617
20.70	3.4624
20.71	3.4631
20.73	3.4635
20.75	3.4640
20.76	3.4645
20.78	3.4649
20.80	3.4653
20.81	3.4658
20.83	3.4661
20.84	3.4665
20.86	3.4670
20.88	3.4673
20.90	3.4678
20.91	3.4683
20.93	3.4687
20.95	3.4688
20.96	3.4693
20.98	3.4697
20.99	3.4700
21.01	3.4705
21.03	3.4710
21.05	3.4716
21.06	3.4723
21.07	3.4730
21.09	3.4737
21.11	3.4745
21.13	3.4750
21.15	3.4755
21.16	3.4759
21.18	3.4769
21.19	3.4776
21.21	3.4775
21.23	3.4778
21.25	3.4781
21.27	3.4784
21.28	3.4786
21.30	3.4789
21.31	3.4792
21.33	3.4798
21.34	3.4800
21.36	3.4807
21.38	3.4811
21.39	3.4814
21.41	3.4821
21.43	3.4828
21.44	3.4834
21.46	3.4841
21.48	3.4845
21.49	3.4849
21.51	3.4853
21.52	3.4856
21.54	3.4859
21.56	3.4862
21.58	3.4863
21.59	3.4866
21.61	3.4868
21.63	3.4869
21.65	3.4873
21.67	3.4874
21.68	3.4876
21.70	3.4879
21.71	3.4883
21.73	3.4886
21.74	3.4890
21.76	3.4895
21.78	3.4899
21.79	3.4904
21.81	3.4911
21.82	3.4916
21.84	3.4922
21.86	3.4927
21.88	3.4931
21.90	3.4935
21.91	3.4940
21.93	3.4941
21.95	3.4947
21.96	3.4953
21.98	3.4955
22.00	3.4958
22.01	3.4964
22.03	3.4967
22.04	3.4969
